draw,district,total_pop,chain,pop_overlap,total_vap,plan_dev,comp_edge,comp_polsby,pop_hisp,pop_white,pop_black,pop_aian,pop_asian,pop_nhpi,pop_other,pop_two,vap_hisp,vap_white,vap_black,vap_aian,vap_asian,vap_nhpi,vap_other,vap_two,pre_16_rep_tru,pre_16_dem_cli,uss_16_rep_cra,uss_16_dem_stu,gov_18_rep_lit,gov_18_dem_jor,atg_18_rep_was,atg_18_dem_bis,sos_18_rep_den,sos_18_dem_hum,pre_20_rep_tru,pre_20_dem_bid,uss_20_rep_ris,uss_20_dem_jor,arv_16,adv_16,arv_18,adv_18,arv_20,adv_20,county_splits,muni_splits,ndv,nrv,ndshare,e_dvs,pr_dem,e_dem,pbias,egap
cd_2020,1,919703,"NA",1.0000,692469,0.000163123,0.9890,0.1837,108819,736048, 5198, 9522,10437,1597,4635,43447, 68260,572531,3553, 7094, 8565,1134,3329,28003,220839, 86227,234357, 84659,195396,105230,205234, 92181,199964, 99996,302700,132109,294510,131240,227599, 85444,200199, 99135,298605,131674,1,3,104520,236142,0.3068,0.3074,0,0,0,0.1884
cd_2020,2,919403,"NA",1.0000,683931,0.000163123,0.9890,0.3148,130588,714475, 9587, 9381,15599,1804,3608,34361, 83440,548935,6393, 6841,12443,1308,2598,21973,188215,103539,214659,103589,166264,125853,179556,111102,170690,122040,251418,154911,243934,154623,201437,103564,172171,119666,247677,154768,1,3,125094,202105,0.3823,0.3828,0,0,0,0.1884
1,1,917102, 1,0.7256,685640,0.002665425,0.9870,0.1169,141833,707136, 4732, 9854, 8158,1445,4173,39771, 88761,549557,3219, 7262, 6726,1016,2986,26113,222015, 76436,235967, 76071,188182, 89958,197079, 79922,192668, 86479,294272,109821,283080,110409,228991, 76254,192644, 85452,288675,110115,0,0, 89871,230465,0.2806,0.2820,0,0,0,0.1884
1,2,922004, 1,0.7256,690760,0.002665425,0.9870,0.1856, 97574,743387,10053, 9049,17878,1956,4070,38037, 62939,571909,6727, 6673,14282,1426,2941,23863,187039,113330,213049,112177,173478,141125,187711,123360,177986,135557,259846,177199,255365,175454,200044,112754,179726,133348,257607,176328,0,0,139743,207782,0.4021,0.4018,0,0,0,0.1884
2,1,923784, 1,0.7187,714938,0.004601149,0.9944,0.2332, 69344,767156, 9045, 9136,17197,1612,4799,45495, 45526,608624,5833, 6818,13726,1198,3576,29637,209551,121565,227999,118000,191700,146816,204057,129463,195496,141008,285321,184706,280595,181864,218775,119783,197085,139095,282958,183285,1,0,146203,227816,0.3909,0.3908,0,0,0,0.1884
2,2,915322, 1,0.7187,661462,0.004601149,0.9944,0.3104,170063,683367, 5740, 9767, 8839,1789,3444,32313,106174,512842,4113, 7117, 7282,1244,2351,20339,199504, 68201,221017, 70249,169960, 84266,180733, 73820,175158, 81028,268797,102314,257849,103999,210260, 69225,175285, 79705,263324,103157,1,0, 83411,210431,0.2839,0.2853,0,0,0,0.1884
3,1,918815, 1,0.7160,711452,0.000802564,0.9940,0.2229, 67253,764644, 9063, 9086,17151,1616,4789,45213, 44265,606682,5842, 6785,13694,1198,3566,29420,208282,121500,226761,117893,191245,146897,203595,129496,194979,141099,284689,185051,280191,182089,217522,119697,196608,139164,282440,183570,1,1,146290,227105,0.3918,0.3916,0,0,0,0.1884
3,2,920291, 1,0.7160,664948,0.000802564,0.9940,0.2850,172154,685879, 5722, 9817, 8885,1785,3454,32595,107435,514784,4104, 7150, 7314,1244,2361,20556,200772, 68266,222255, 70355,170415, 84185,181194, 73787,175675, 80937,269429,101969,258254,103774,211513, 69310,175762, 79636,263842,102872,1,1, 83325,211142,0.2830,0.2844,0,0,0,0.1884
4,1,916884, 1,0.9382,692287,0.002902497,0.9884,0.2368,105163,737920, 5094, 8976, 9975,1484,4635,43637, 65740,575629,3399, 6655, 8246,1053,3328,28237,219874, 93665,234396, 91744,196258,113080,206500, 99414,200464,108075,301057,142056,293526,140680,227135, 92705,201075,106856,297291,141368,1,3,112674,236009,0.3231,0.3236,0,0,0,0.1884
4,2,922222, 1,0.9382,684113,0.002902497,0.9884,0.3311,134244,712603, 9691, 9927,16061,1917,3608,34171, 85960,545837,6547, 7280,12762,1389,2599,21739,189180, 96101,214620, 96504,165402,118001,178290,103869,170189,113961,253061,144964,244919,145183,201900, 96302,171295,111944,248991,145074,1,3,116941,202238,0.3664,0.3670,0,0,0,0.1884
5,1,918230, 1,0.9396,690885,0.001438743,0.9880,0.1775,108975,731996, 5881, 9366,11971,1617,4641,43783, 68164,569457,3848, 6920, 9760,1157,3344,28235,219883, 88501,234229, 86901,193701,107866,203875, 94393,198383,102521,297868,135129,289673,134338,227057, 87702,198654,101593,293770,134733,1,3,107093,233944,0.3140,0.3145,0,0,0,0.1884
5,2,920876, 1,0.9396,685515,0.001438743,0.9880,0.3117,130432,718527, 8904, 9537,14065,1784,3602,34025, 83536,552009,6098, 7015,11248,1285,2583,21741,189171,101265,214787,101347,167959,123216,180915,108890,172270,119515,256250,151891,248772,151525,201979,101306,173716,117208,252512,151709,1,3,122522,204304,0.3749,0.3755,0,0,0,0.1884
6,1,923995, 1,0.8895,701130,0.004830608,0.9894,0.1855,107471,740395, 5836, 9381,10707,1504,4734,43967, 67576,580855,3826, 6917, 8805,1093,3443,28615,218242,100840,233520, 98969,195268,120889,205886,106639,199463,115847,295782,151072,288775,149340,225881, 99905,200207,114458,292278,150207,1,3,120514,233847,0.3401,0.3405,0,0,0,0.1884
6,2,915111, 1,0.8895,675270,0.004830608,0.9894,0.3289,131936,710128, 8949, 9522,15329,1897,3509,33841, 84124,540611,6120, 7018,12203,1349,2484,21361,190813, 88926,215496, 89280,166392,110192,178903, 96644,171190,106189,258336,135948,249669,136523,203154, 89103,172163,104342,254004,136236,1,3,109100,204401,0.3480,0.3487,0,0,0,0.1884
7,1,921485, 1,0.7175,714035,0.002101021,0.9940,0.2326, 68720,765743, 8953, 9132,17165,1624,4819,45329, 45174,608199,5770, 6821,13699,1204,3584,29584,209964,121681,228404,118104,192428,146862,204725,129571,196196,141099,285935,184728,281324,181788,219184,119893,197784,139177,283629,183258,1,1,146262,228424,0.3904,0.3902,0,0,0,0.1884
7,2,917621, 1,0.7175,662365,0.002101021,0.9940,0.3095,170687,684780, 5832, 9771, 8871,1777,3424,32479,106526,513267,4176, 7114, 7309,1238,2343,20392,199091, 68084,220612, 70144,169232, 84220,180065, 73712,174457, 80937,268183,102292,257121,104075,209851, 69114,174586, 79623,262653,103184,1,1, 83352,209823,0.2843,0.2857,0,0,0,0.1884
8,1,918573, 1,0.5403,685489,0.001065735,0.9910,0.3220,143996,692004,11021, 4868,18064,2198,4304,42118, 91035,537683,7101, 3845,14292,1540,3093,26900,184791,104992,199718,102637,169817,131900,184873,112549,175112,125041,248483,164474,242393,164432,192255,103815,176602,123164,245439,164453,1,0,129432,200741,0.3920,0.3909,0,0,0,0.1884
8,2,920533, 1,0.5403,690911,0.001065735,0.9910,0.1800, 95411,758519, 3764,14035, 7972,1203,3939,35690, 60665,583783,2845,10090, 6716, 902,2834,23076,224263, 84774,249298, 85611,191843, 99182,199916, 90734,195541, 96995,305635,122546,296052,121431,236781, 85193,195768, 95637,300843,121989,1,0,100182,237507,0.2967,0.2988,0,0,0,0.1884
9,1,917997, 1,0.7156,708931,0.001692127,0.9924,0.2101, 69435,761506, 9064, 9092,17223,1629,4725,45323, 45506,602917,5842, 6771,13751,1205,3511,29428,207510,119865,225860,116236,190295,144733,202433,127627,193946,139092,283835,182389,279305,179476,216685,118051,195559,137151,281570,180933,0,0,144203,226168,0.3893,0.3892,0,0,0,0.1884
9,2,921109, 1,0.7156,667469,0.001692127,0.9924,0.3730,169972,689017, 5721, 9811, 8813,1772,3518,32485,106194,518549,4104, 7164, 7257,1237,2416,20548,201544, 69901,223156, 72012,171365, 86349,182356, 75656,176708, 82943,270283,104631,259140,106387,212350, 70957,176811, 81650,264712,105509,0,0, 85411,212079,0.2871,0.2885,0,0,0,0.1884
10,1,922217, 1,0.8776,703447,0.002897060,0.9884,0.2371,105504,740876, 5609, 9043,10693,1543,4917,44032, 66728,583779,3776, 6698, 8884,1115,3616,28851,215079,104003,230860,101884,192687,124529,203517,109858,196776,119460,291407,155165,284592,153297,222970,102944,197661,117949,288000,154231,1,2,124028,230702,0.3496,0.3501,0,0,0,0.1884
10,2,916889, 1,0.8776,672953,0.002897060,0.9884,0.3330,133903,709647, 9176, 9860,15343,1858,3326,33776, 84972,537687,6170, 7237,12124,1327,2311,21125,193975, 85763,218156, 86364,168973,106553,181272, 93425,173877,102576,262711,131855,253852,132566,206065, 86063,174709,100852,258282,132211,1,2,105586,207546,0.3372,0.3379,0,0,0,0.1884
11,1,921866, 1,0.9068,697066,0.002515353,0.9860,0.2217,110271,732042, 7128, 9229,12368,1782,4655,44391, 69191,572890,4657, 6849,10074,1278,3394,28733,217075, 92061,231414, 90936,189176,112765,199883, 98703,194281,106957,291548,139702,282787,139457,224245, 91499,194448,106141,287168,139580,1,2,111512,229451,0.3270,0.3276,0,0,0,0.1884
11,2,917240, 1,0.9068,679334,0.002515353,0.9860,0.3146,129136,718481, 7657, 9674,13668,1619,3588,33417, 82509,548576,5289, 7086,10934,1164,2533,21243,191979, 97705,217602, 97312,172484,118317,184907,104579,176372,115079,262570,147318,255657,146406,204790, 97509,177922,112659,259114,146863,1,2,118103,208796,0.3613,0.3618,0,0,0,0.1884
12,1,921365, 1,0.7174,713330,0.001970523,0.9942,0.2389, 67639,766602, 9065, 9108,17177,1623,4808,45343, 44500,608172,5844, 6807,13716,1201,3580,29510,208922,121609,227419,118011,191819,147033,204182,129619,195565,141228,285559,185220,280999,182286,218170,119810,197190,139293,283279,183753,1,1,146430,227780,0.3913,0.3911,0,0,0,0.1884
12,2,917741, 1,0.7174,663070,0.001970523,0.9942,0.3004,171768,683921, 5720, 9795, 8859,1778,3435,32465,107200,513294,4102, 7128, 7292,1241,2347,20466,200132, 68157,221597, 70237,169841, 84049,180608, 73663,175089, 80808,268559,101800,257446,103577,210865, 69197,175180, 79507,263003,102689,1,1, 83185,210468,0.2833,0.2847,0,0,0,0.1884
13,1,915514, 1,0.7142,708818,0.004392352,0.9938,0.2210, 66547,762350, 9056, 9050,17125,1614,4764,45008, 43835,604728,5832, 6755,13668,1192,3555,29253,207751,121300,226214,117684,190856,146640,203166,129270,194555,140849,283920,184756,279475,181758,216983,119493,196193,138920,281698,183257,1,0,146037,226562,0.3919,0.3918,0,0,0,0.1884
13,2,923592, 1,0.7142,667582,0.004392352,0.9938,0.2798,172860,688173, 5729, 9853, 8911,1787,3479,32800,107865,516738,4114, 7180, 7340,1250,2372,20723,201303, 68466,222802, 70565,170804, 84442,181624, 74013,176099, 81187,270198,102264,258969,104106,212052, 69515,176177, 79881,264584,103185,1,0, 83577,211686,0.2831,0.2845,0,0,0,0.1884
14,1,918751, 1,0.8007,702075,0.000872163,0.9831,0.1537,112644,723513, 8005, 9771,13945,1793,4797,44283, 71943,572428,5381, 7253,11261,1298,3568,28943,205898,103886,221950,101480,180473,124672,191738,109851,185027,119385,273468,152721,265935,151960,213924,102683,185747,117969,269701,152340,1,2,123423,217783,0.3617,0.3623,0,0,0,0.1884
14,2,920355, 1,0.8007,674325,0.000872163,0.9831,0.2815,126763,727010, 6780, 9132,12091,1608,3446,33525, 79757,549038,4565, 6682, 9747,1144,2359,21033,203156, 85880,227066, 86768,181187,106410,193051, 93432,185626,102651,280650,134299,272510,133903,215111, 86325,186623,100831,276581,134102,1,2,106192,220464,0.3251,0.3256,0,0,0,0.1884
15,1,918569, 1,0.7159,711445,0.001070085,0.9934,0.2304, 68776,763403, 8909, 9142,16768,1615,4795,45161, 45154,606106,5747, 6819,13404,1200,3582,29433,208896,120793,226988,117384,191260,145912,203509,128793,195072,140197,284763,183354,280047,180535,217942,119089,196615,138300,282405,181944,1,1,145281,227219,0.3900,0.3899,0,0,0,0.1884
15,2,920537, 1,0.7159,664955,0.001070085,0.9934,0.3067,170631,687120, 5876, 9761, 9268,1786,3448,32647,106546,515360,4199, 7116, 7604,1242,2345,20543,200158, 68973,222028, 70865,170400, 85170,181280, 74490,175581, 81839,269355,103666,258398,105328,211093, 69919,175755, 80500,263877,104498,1,1, 84333,211029,0.2855,0.2869,0,0,0,0.1884
16,1,918844, 1,0.5678,686651,0.000771027,0.9908,0.3323,138740,696681,11028, 4914,18190,2205,4378,42708, 87871,541391,7117, 3882,14394,1540,3135,27321,186643,105039,201183,102827,171515,132176,186560,112809,176870,125266,251805,164650,245669,164641,193913,103934,178316,123417,248737,164646,1,0,129630,202891,0.3898,0.3888,0,0,0,0.1884
16,2,920262, 1,0.5678,689749,0.000771027,0.9908,0.1989,100667,753842, 3757,13989, 7846,1196,3865,35100, 63829,580075,2829,10053, 6614, 902,2792,22655,222411, 84727,247833, 85421,190145, 98906,198230, 90474,193783, 96770,302313,122369,292775,121222,235123, 85074,194054, 95383,297544,121796,1,0, 99984,235356,0.2982,0.3002,0,0,0,0.1884
17,1,917866, 1,0.9331,692803,0.001834587,0.9910,0.1851,108679,733895, 5524, 9357,10754,1527,4655,43475, 68011,572773,3682, 6912, 8809,1087,3367,28162,221748, 89413,235755, 87836,196699,108765,206716, 95551,201186,103694,301544,135827,293614,134879,228752, 88625,201534,102670,297579,135353,1,4,107995,236750,0.3133,0.3138,0,0,0,0.1884
17,2,921240, 1,0.9331,683597,0.001834587,0.9910,0.3273,130728,716628, 9261, 9546,15282,1874,3588,34333, 83689,548693,6264, 7023,12199,1355,2560,21814,187306,100353,213261,100412,164961,122317,178074,107731,169467,118342,252574,151193,244831,150984,200283,100382,170836,116131,248703,151089,1,4,121619,201497,0.3764,0.3770,0,0,0,0.1884
18,1,923423, 1,0.7186,714792,0.004208567,0.9944,0.2394, 67855,768326, 9071, 9105,17179,1625,4814,45448, 44630,609419,5850, 6804,13714,1203,3588,29584,209485,121702,227946,118113,192266,147169,204659,129732,196047,141344,286339,185318,281741,182407,218716,119908,197659,139415,284040,183863,1,1,146541,228354,0.3909,0.3907,0,0,0,0.1884
18,2,915683, 1,0.7186,661608,0.004208567,0.9944,0.3005,171552,682197, 5714, 9798, 8857,1776,3429,32360,107070,512047,4096, 7131, 7294,1239,2339,20392,199569, 68064,221070, 70135,169394, 83913,180131, 73551,174607, 80692,267779,101702,256703,103456,210320, 69099,174712, 79385,262242,102580,1,1, 83073,209893,0.2836,0.2850,0,0,0,0.1884
19,1,919273, 1,0.7163,711640,0.000304496,0.9938,0.2333, 68629,763920, 8931, 9133,17024,1588,4800,45248, 45111,606138,5745, 6822,13595,1168,3574,29487,208665,120824,226944,117250,191220,145867,203458,128658,194973,140132,285107,183511,280471,180668,217805,119037,196552,138219,282789,182089,1,1,145273,227262,0.3900,0.3899,0,0,0,0.1884
19,2,919833, 1,0.7163,664760,0.000304496,0.9938,0.3102,170778,686603, 5854, 9770, 9012,1813,3443,32560,106589,515328,4201, 7113, 7413,1274,2353,20489,200390, 68942,222072, 70999,170440, 85215,181331, 74625,175681, 81904,269011,103509,257974,105196,211231, 69970,175818, 80582,263493,104353,1,1, 84341,210986,0.2856,0.2869,0,0,0,0.1884
20,1,922048, 1,0.9182,694983,0.002713275,0.9874,0.1696,112567,730567, 6727, 9500,12134,1772,4614,44167, 70604,569804,4441, 7013, 9940,1277,3341,28563,215351, 89828,229574, 88582,188622,110388,199026, 96717,193497,104888,291419,137379,282849,136950,222463, 89205,193717,103997,287134,137164,1,3,109247,228619,0.3233,0.3239,0,0,0,0.1884
20,2,917058, 1,0.9182,681417,0.002713275,0.9874,0.4031,126840,719956, 8058, 9403,13902,1629,3629,33641, 81096,551662,5505, 6922,11068,1165,2586,21413,193703, 99938,219442, 99666,173038,120694,185764,106566,177156,117148,262699,149641,255595,148913,206572, 99802,178653,114803,259148,149278,1,3,120367,209628,0.3648,0.3653,0,0,0,0.1884
21,1,915292, 1,0.7141,708612,0.004633773,0.9940,0.2230, 66795,761898, 9055, 9043,17118,1611,4773,44999, 43953,604381,5836, 6751,13662,1192,3561,29276,207565,121206,226042,117615,190587,146553,202881,129187,194283,140761,283643,184644,279205,181645,216804,119411,195918,138834,281424,183144,1,0,145945,226314,0.3921,0.3919,0,0,0,0.1884
21,2,923814, 1,0.7141,667788,0.004633773,0.9940,0.2816,172612,688625, 5730, 9860, 8918,1790,3470,32809,107747,517085,4110, 7184, 7346,1250,2366,20700,201489, 68560,222974, 70634,171073, 84529,181909, 74096,176371, 81275,270475,102376,259240,104218,212231, 69597,176452, 79967,264858,103298,1,0, 83670,211933,0.2830,0.2845,0,0,0,0.1884
22,1,919042, 1,0.7162,712139,0.000555705,0.9946,0.2346, 68210,763983, 8962, 9112,17139,1614,4806,45216, 44889,606755,5769, 6801,13673,1198,3567,29487,209144,121367,227607,117804,192137,146543,204416,129274,195875,140789,285497,184561,280998,181531,218376,119586,197477,138868,283248,183046,1,0,145982,227953,0.3904,0.3902,0,0,0,0.1884
22,2,920064, 1,0.7162,664261,0.000555705,0.9946,0.3127,171197,686540, 5823, 9791, 8897,1787,3437,32592,106811,514711,4177, 7134, 7335,1244,2360,20489,199910, 68399,221409, 70445,169523, 84539,180374, 74009,174778, 81247,268621,102459,257446,104332,210660, 69421,174893, 79932,263034,103396,1,0, 83633,210295,0.2845,0.2860,0,0,0,0.1884
23,1,916055, 1,0.6987,709130,0.003804022,0.9926,0.2107, 66829,761882, 9311, 9098,17350,1642,4774,45169, 43917,604348,6029, 6776,13878,1205,3566,29411,206520,121300,225276,117552,189512,146654,201812,129307,193232,140859,281687,184571,277143,181618,215899,119427,194853,138940,279415,183095,1,1,145981,225025,0.3935,0.3933,0,0,0,0.1884
23,2,923051, 1,0.6987,667270,0.003804022,0.9926,0.2280,172578,688641, 5474, 9805, 8686,1759,3469,32639,107783,517118,3917, 7159, 7130,1237,2361,20565,202534, 68466,223740, 70696,172148, 84428,182978, 73976,177422, 81177,272431,102449,261302,104245,213137, 69581,177517, 79860,266867,103347,1,1, 83634,213222,0.2817,0.2832,0,0,0,0.1884
24,1,915655, 1,0.5419,683304,0.004239016,0.9920,0.3429,143356,689953,11013, 4856,18054,2195,4303,41925, 90585,536099,7098, 3831,14282,1539,3090,26780,184062,104690,198894,102339,169095,131509,184079,112259,174341,124715,247801,164189,241773,164101,191478,103515,175839,122828,244787,164146,0,0,129115,200006,0.3923,0.3912,0,0,0,0.1884
24,2,923451, 1,0.5419,693096,0.004239016,0.9920,0.1982, 96051,760570, 3772,14047, 7982,1206,3940,35883, 61115,585367,2848,10104, 6726, 903,2837,23196,224992, 85076,250122, 85909,192565, 99573,200711, 91024,196313, 97321,306317,122831,296671,121762,237558, 85492,196531, 95972,301494,122297,0,0,100499,238242,0.2967,0.2988,0,0,0,0.1884
25,1,915453, 1,0.7142,709469,0.004458688,0.9948,0.2322, 67865,760965, 8948, 9105,17115,1613,4790,45052, 44657,604469,5762, 6801,13654,1197,3551,29378,208337,121137,226828,117576,191339,146256,203582,129022,195070,140505,284025,184125,279577,181076,217583,119357,196665,138594,281801,182601,1,0,145671,226965,0.3909,0.3908,0,0,0,0.1884
25,2,923653, 1,0.7142,666931,0.004458688,0.9948,0.3103,171542,689558, 5837, 9798, 8921,1788,3453,32756,107043,516997,4184, 7134, 7354,1245,2376,20598,200717, 68629,222188, 70672,170321, 84826,181208, 74261,175583, 81531,270093,102895,258867,104787,211452, 69650,175705, 80206,264481,103842,1,0, 83943,211283,0.2843,0.2858,0,0,0,0.1884
26,1,915871, 1,0.7144,709282,0.004004119,0.9940,0.2232, 66560,762624, 9053, 9055,17136,1614,4778,45051, 43852,605086,5834, 6761,13680,1196,3564,29309,207745,121334,226220,117732,190818,146690,203129,129319,194522,140901,283968,184820,279504,181826,216983,119533,196158,138970,281736,183323,1,1,146089,226557,0.3920,0.3919,0,0,0,0.1884
26,2,923235, 1,0.7144,667118,0.004004119,0.9940,0.2818,172847,687899, 5732, 9848, 8900,1787,3465,32757,107848,516380,4112, 7174, 7328,1246,2363,20667,201310, 68432,222796, 70517,170842, 84392,181660, 73963,176131, 81135,270150,102200,258941,104037,212053, 69474,176212, 79830,264546,103120,1,1, 83525,211690,0.2829,0.2844,0,0,0,0.1884
27,1,915514, 1,0.7142,708818,0.004392352,0.9938,0.2210, 66547,762350, 9056, 9050,17125,1614,4764,45008, 43835,604728,5832, 6755,13668,1192,3555,29253,207751,121300,226214,117684,190856,146640,203166,129270,194555,140849,283920,184756,279475,181758,216983,119493,196193,138920,281698,183257,1,0,146037,226562,0.3919,0.3918,0,0,0,0.1884
27,2,923592, 1,0.7142,667582,0.004392352,0.9938,0.2798,172860,688173, 5729, 9853, 8911,1787,3479,32800,107865,516738,4114, 7180, 7340,1250,2372,20723,201303, 68466,222802, 70565,170804, 84442,181624, 74013,176099, 81187,270198,102264,258969,104106,212052, 69515,176177, 79881,264584,103185,1,0, 83577,211686,0.2831,0.2845,0,0,0,0.1884
28,1,921729, 1,0.7176,712031,0.002366367,0.9940,0.2442, 68429,766172, 8847, 8968,17178,1619,4852,45664, 44631,606935,5633, 6647,13701,1188,3601,29695,210444,121870,229024,118294,192986,147285,205386,129867,196818,141439,287259,185401,282635,182457,219734,120083,198398,139530,284947,183929,1,1,146659,229221,0.3902,0.3900,0,0,0,0.1884
28,2,917377, 1,0.7176,664369,0.002366367,0.9940,0.3324,170978,684351, 5938, 9935, 8858,1782,3391,32144,107069,514531,4313, 7288, 7307,1254,2326,20281,198610, 67896,219992, 69954,168674, 83797,179404, 73416,173835, 80597,266859,101619,255810,103406,209301, 68925,173972, 79270,261335,102513,1,1, 82955,209026,0.2841,0.2855,0,0,0,0.1884
29,1,921988, 1,0.7178,713715,0.002648026,0.9944,0.2392, 67561,767286, 9069, 9097,17170,1618,4804,45383, 44452,608597,5848, 6796,13705,1200,3581,29536,209193,121638,227652,118046,192025,147090,204414,129658,195796,141272,285940,185216,281371,182296,218423,119843,197413,139340,283656,183756,1,1,146460,228055,0.3911,0.3909,0,0,0,0.1884
29,2,917118, 1,0.7178,662685,0.002648026,0.9944,0.3004,171846,683237, 5716, 9806, 8866,1783,3439,32425,107248,512869,4098, 7139, 7303,1242,2346,20440,199861, 68128,221364, 70202,169635, 83992,180376, 73625,174857, 80764,268178,101804,257074,103568,210612, 69165,174957, 79460,262626,102686,1,1, 83155,210192,0.2835,0.2849,0,0,0,0.1884
30,1,915453, 1,0.7142,709469,0.004458688,0.9948,0.2322, 67865,760965, 8948, 9105,17115,1613,4790,45052, 44657,604469,5762, 6801,13654,1197,3551,29378,208337,121137,226828,117576,191339,146256,203582,129022,195070,140505,284025,184125,279577,181076,217583,119357,196665,138594,281801,182601,1,0,145671,226965,0.3909,0.3908,0,0,0,0.1884
30,2,923653, 1,0.7142,666931,0.004458688,0.9948,0.3103,171542,689558, 5837, 9798, 8921,1788,3453,32756,107043,516997,4184, 7134, 7354,1245,2376,20598,200717, 68629,222188, 70672,170321, 84826,181208, 74261,175583, 81531,270093,102895,258867,104787,211452, 69650,175705, 80206,264481,103842,1,0, 83943,211283,0.2843,0.2858,0,0,0,0.1884
31,1,918558, 1,0.9171,695003,0.001082047,0.9866,0.2353,104677,738478, 5427, 8976,10981,1537,4643,43839, 65620,577287,3631, 6660, 9020,1112,3335,28338,220342, 95897,235610, 93873,197565,115662,207968,101678,201767,110615,300559,145593,293502,143857,227977, 94886,202435,109318,297030,144725,1,3,115311,236758,0.3275,0.3279,0,0,0,0.1884
31,2,920548, 1,0.9171,681397,0.001082047,0.9866,0.3309,134730,712045, 9358, 9927,15055,1864,3600,33969, 86080,544179,6315, 7275,11988,1330,2592,21638,188712, 93869,213406, 94375,164095,115420,176822,101605,168886,111421,253559,141427,244943,142006,201058, 94122,169936,109483,249252,141717,1,3,114304,201489,0.3620,0.3627,0,0,0,0.1884
32,1,921547, 1,0.8465,705367,0.002168445,0.9848,0.1791,108857,735213, 6867, 9498,10550,1667,4940,43955, 69182,582025,4540, 7015, 8781,1194,3643,28987,211046,105167,226346,103398,188252,126607,199123,111980,192561,121413,285504,156160,278189,154906,218696,104283,193314,119999,281846,155533,1,3,125662,225859,0.3575,0.3580,0,0,0,0.1884
32,2,917559, 1,0.8465,671033,0.002168445,0.9848,0.3148,130550,715310, 7918, 9405,15486,1734,3303,33853, 82518,539441,5406, 6920,12227,1248,2284,20989,198008, 84599,222670, 84850,173407,104475,185666, 91303,178092,100623,268614,130860,260255,130957,210339, 84724,179057, 98801,264436,130909,1,3,103952,212388,0.3286,0.3292,0,0,0,0.1884
33,1,920473, 1,0.8386,703469,0.001000486,0.9876,0.1830,107217,736068, 6297, 9421,10907,1530,4975,44058, 67914,581728,4145, 6970, 8993,1121,3680,28918,215224,104322,230804,102330,193049,125229,203923,110591,197257,120147,290348,155031,283464,153397,223014,103327,198077,118656,286906,154214,1,2,124435,230580,0.3505,0.3509,0,0,0,0.1884
33,2,918633, 1,0.8386,672931,0.001000486,0.9876,0.3235,132190,714455, 8488, 9482,15129,1871,3268,33750, 83786,539738,5801, 6965,12015,1321,2247,21058,193830, 85444,218212, 85918,168611,105853,180867, 92691,173396,101889,263770,131989,254980,132466,206021, 85681,174293,100145,259376,132229,1,2,105179,207667,0.3362,0.3369,0,0,0,0.1884
34,1,923017, 1,0.7183,714383,0.003767048,0.9940,0.2334, 69051,766938, 8974, 9137,17080,1601,4807,45429, 45374,608398,5785, 6820,13643,1185,3572,29606,209726,121292,228001,117716,191825,146395,204170,129084,195642,140600,285820,184162,281106,181327,218864,119505,197213,138693,283463,182745,1,1,145797,228041,0.3900,0.3899,0,0,0,0.1884
34,2,916089, 1,0.7183,662017,0.003767048,0.9940,0.3103,170356,683585, 5811, 9766, 8956,1800,3436,32379,106326,513068,4161, 7115, 7365,1257,2355,20370,199328, 68474,221015, 70532,169835, 84687,180620, 74199,175011, 81436,268298,102858,257338,104536,210171, 69503,175157, 80107,262818,103698,1,1, 83817,210207,0.2851,0.2864,0,0,0,0.1884
35,1,916575, 1,0.7148,709535,0.003238530,0.9936,0.2275, 66694,763166, 9055, 9057,17135,1619,4779,45070, 43888,605290,5836, 6765,13672,1197,3573,29314,207797,121250,226259,117649,190806,146604,203110,129245,194534,140801,284044,184670,279542,181712,217028,119450,196151,138883,281793,183191,1,0,145990,226584,0.3918,0.3917,0,0,0,0.1884
35,2,922531, 1,0.7148,666865,0.003238530,0.9936,0.2848,172713,687357, 5730, 9846, 8901,1782,3464,32738,107812,516176,4110, 7170, 7336,1245,2354,20662,201257, 68516,222757, 70600,170853, 84478,181680, 74038,176120, 81235,270074,102350,258902,104151,212007, 69558,176219, 79917,264488,103251,1,0, 83624,211663,0.2832,0.2846,0,0,0,0.1884
36,1,919833, 1,0.7166,712785,0.000304496,0.9942,0.2327, 68591,764346, 8942, 9122,17143,1624,4814,45251, 45082,607128,5766, 6812,13683,1204,3580,29530,209442,121528,227895,117943,191897,146661,204170,129407,195663,140915,285117,184454,280522,181511,218669,119736,197244,138994,282820,182982,1,1,146060,227814,0.3907,0.3905,0,0,0,0.1884
36,2,919273, 1,0.7166,663615,0.000304496,0.9942,0.3096,170816,686177, 5843, 9781, 8893,1777,3429,32557,106618,514338,4180, 7123, 7325,1238,2347,20446,199613, 68237,221121, 70305,169763, 84421,180620, 73875,174991, 81121,269001,102566,257923,104352,210367, 69271,175126, 79806,263462,103460,1,1, 83554,210433,0.2842,0.2856,0,0,0,0.1884
37,1,923166, 1,0.7252,713087,0.003929083,0.9932,0.2411, 68824,767979, 8857, 8957,16459,1582,4852,45656, 44865,608260,5629, 6637,13207,1159,3603,29727,211327,121175,229533,117745,193562,146570,205908,129252,197428,140721,288892,184379,284063,181615,220430,119461,198967,138848,286478,182997,1,1,145923,230101,0.3881,0.3880,0,0,0,0.1884
